index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
45,000062.SZ,62,深圳华强,深圳,批发业,深圳华强实业股份有限公司,主板,SZSE,19970130,S
46,000063.SZ,63,中兴通讯,深圳,通信设备,中兴通讯股份有限公司,主板,SZSE,19971118,S
47,000065.SZ,65,北方国际,北京,建筑工程,北方国际合作股份有限公司,主板,SZSE,19980605,S
48,000066.SZ,66,中国长城,深圳,IT设备,中国长城科技集团股份有限公司,主板,SZSE,19970626,S
49,000068.SZ,68,华控赛格,深圳,环境保护,深圳华控赛格股份有限公司,主板,SZSE,19970611,N
50,000069.SZ,69,华侨城A,深圳,旅游景点,深圳华侨城股份有限公司,主板,SZSE,19970910,S
51,000070.SZ,70,特发信息,深圳,通信设备,深圳市特发信息股份有限公司,主板,SZSE,20000511,S
52,000078.SZ,78,海王生物,深圳,医药商业,深圳市海王生物工程股份有限公司,主板,SZSE,19981218,S
53,000088.SZ,88,盐田港,深圳,港口,深圳市盐田港股份有限公司,主板,SZSE,19970728,S
54,000089.SZ,89,深圳机场,深圳,机场,深圳市机场股份有限公司,主板,SZSE,19980420,S
55,000090.SZ,90,天健集团,深圳,建筑工程,深圳市天健(集团)股份有限公司,主板,SZSE,19990721,S
56,000096.SZ,96,广聚能源,深圳,石油贸易,深圳市广聚能源股份有限公司,主板,SZSE,20000724,N
