ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399102.SZ,20140926,1641.016,1633.568,1641.895,1628.98,1635.476,5.54,0.3387,18315997.68,33634257.4294
399102.SZ,20140929,1659.944,1645.87,1659.944,1645.87,1641.016,18.928,1.1534,21163797.85,41018590.1726
399102.SZ,20140930,1673.345,1661.181,1673.359,1660.2,1659.944,13.401,0.8073,19584148.26,37207044.9563
399102.SZ,20141008,1695.733,1676.36,1695.733,1669.956,1673.345,22.388,1.3379,21221706.28,41662419.8035
399102.SZ,20141009,1700.96,1699.828,1706.797,1676.459,1695.733,5.227,0.3082,25641919.61,49641316.9513
399102.SZ,20141010,1692.963,1698.474,1702.927,1682.599,1700.96,-7.997,-0.4701,22691637.44,43535393.1508
399102.SZ,20141013,1691.14,1686.655,1691.356,1662.558,1692.963,-1.823,-0.1077,21551881.93,40575689.4117
399102.SZ,20141014,1683.376,1688.906,1705.453,1674.066,1691.14,-7.764,-0.4591,20848818.66,39319673.0858
399102.SZ,20141015,1688.638,1682.095,1688.638,1665.085,1683.376,5.262,0.3126,19598465.66,37716774.677
399102.SZ,20141016,1666.866,1680.864,1697.748,1666.866,1688.638,-21.772,-1.2893,20861354.27,40500735.3605
399102.SZ,20141017,1646.934,1664.858,1669.291,1618.528,1666.866,-19.932,-1.1958,20135109.66,39014698.0992
399102.SZ,20141020,1673.409,1650.169,1673.409,1650.169,1646.934,26.475,1.6075,14849203.12,30518734.8922
399102.SZ,20141021,1659.847,1674.896,1680.49,1658.734,1673.409,-13.562,-0.8104,15816636.27,32957551.9976
399102.SZ,20141022,1642.315,1660.324,1667.27,1641.385,1659.847,-17.532,-1.0562,15915656.58,32090526.8896
399102.SZ,20141023,1614.38,1637.473,1641.156,1608.193,1642.315,-27.935,-1.701,16279293.47,31424615.7403
399102.SZ,20141024,1616.712,1615.586,1632.573,1611.242,1614.38,2.332,0.1445,12401052.67,25079298.9614
399102.SZ,20141027,1636.68,1612.997,1636.68,1603.891,1616.712,19.968,1.2351,14263073.89,29399910.0752
399102.SZ,20141028,1675.934,1640.764,1675.934,1640.764,1636.68,39.254,2.3984,17756331.0,35487728.1349
399102.SZ,20141029,1690.07,1680.097,1696.037,1680.097,1675.934,14.136,0.8435,21378044.14,42886038.583
399102.SZ,20141030,1686.172,1691.434,1700.0,1681.284,1690.07,-3.898,-0.2306,19050519.92,38141149.0917
399102.SZ,20141031,1671.872,1687.292,1689.895,1658.27,1686.172,-14.3,-0.8481,18562325.3,36989105.208
399102.SZ,20141103,1691.216,1672.175,1691.216,1672.105,1671.872,19.344,1.157,17033744.31,34225203.6064
399102.SZ,20141104,1676.152,1692.921,1698.203,1672.915,1691.216,-15.064,-0.8907,17887450.17,37143367.6139
399102.SZ,20141105,1674.159,1674.347,1677.589,1663.708,1676.152,-1.993,-0.1189,14780292.09,29673393.4452
399102.SZ,20141106,1701.494,1674.645,1701.58,1674.645,1674.159,27.335,1.6328,15875527.18,34072264.0921
399102.SZ,20141107,1687.62,1705.155,1713.142,1680.826,1701.494,-13.874,-0.8154,20891040.04,44834618.4541
